uuid,author_sort,title_sort,authors,title,formats,size,languages,isbn,tags
"e1fc28a8-85b3-4dee-a5da-26f3ac213e52","King, Stephen","Dark Tower, The","Stephen King","The Dark Tower","epub, mobi","4416700","eng","",""
"1783b427-f5d0-4d16-befa-677cd8596a85","King, Stephen","Drawing of the Three, The","Stephen King","The Drawing of the Three","epub, mobi","867788","eng","9780451210852",""
"800bbb29-beb0-43b0-a6ea-1dd090dbb129","King, Stephen","Gunslinger, The","Stephen King","The Gunslinger","epub, mobi","575319","eng","9780670032549",""
"6c41617b-e560-4659-bfda-a2e161f4d0b7","King, Stephen","Song of Susannah","Stephen King","Song of Susannah","epub, mobi","980436","eng","9781880418598",""
"6b22d70a-494c-4b73-a86e-66573736a514","King, Stephen","Waste Lands, The","Stephen King","The Waste Lands","epub, mobi","2258861","eng","9780451210869",""
"f6833370-2f8d-478d-b194-17e98f352b8b","King, Stephen","Wizard and Glass","Stephen King","Wizard and Glass","epub, mobi","1915992","eng","9780340829783",""
"ffbe2791-6d92-4850-9065-0689d09b0982","King, Stephen","Wolves of the Calla","Stephen King","Wolves of the Calla","epub, mobi","1284140","eng","9781416516934",""
"cda9e7d3-4e6d-4e09-8460-1b0e4ba2d964","Harris, Charlaine","Living Dead in Dallas","Charlaine Harris","Living Dead in Dallas","epub","367074","eng","",""
"c53b474c-f535-4740-8895-673814875d3a","Pratchett, Terry","Carpe Jugulum","Terry Pratchett","Carpe Jugulum","epub","405529","eng","9780061807862","Fantasy"
"04cd3349-48ff-42d5-a4f7-f56bd8e2ab67","Smith, Alexander McCall","Unusual Uses for Olive Oil","Alexander McCall Smith","Unusual Uses for Olive Oil","epub","3756509","eng","978-0-307-94866-3",""
"0e5aeb96-76c2-4fdf-b6f9-b1bf9802f95d","Moran, Caitlin","How to Be a Woman","Caitlin Moran","How to Be a Woman","epub, mobi","1108326","eng","",""
"27f3b318-aa5e-478b-b81b-6b39d137ec56","Barski M.D., Conrad","Land of Lisp","Barski M.D., Conrad","Land of Lisp","mobi","11437380","eng","",""
"194f88e5-4c09-4af3-acab-bf7ec80ab65e","Sweigart, Al","Making Games with Python and PyGame","Al Sweigart","Making Games with Python and PyGame","mobi","3493977","","","Python, Programming"
"c9248ae7-310a-4142-9ced-6811f4486e54","Why","CLOSURE","Why","CLOSURE","pdf","51542463","","","why"
"f75e9c25-f6b3-403b-a0aa-7a0350776e86","Clarke, Susanna","Jonathan Strange and Mr Norrell","Susanna Clarke","Jonathan Strange and Mr Norrell","epub","6164448","eng","",""
"6bf02042-4736-49de-9c8d-30fab195a61f","Griffiths, David","Head First Programming","David Griffiths","Head First Programming","pdf","56918194","","",""
"a8e50f7e-192a-41ae-a368-081897f9fed8","Gaiman, Neil","InterWorld","Neil Gaiman","InterWorld","epub","1162445","eng","",""
"cc86ab2f-0db0-49b2-9996-9855309db819","Shapiro, B. A.","Art Forger, The","B. A. Shapiro","The Art Forger","epub, mobi","876157","eng","","Fiction"
"13af7e20-a42d-46fb-9b5c-48d9f4c119ea","Chalker, Jack L.","River of Dancing Gods (Dancing Gods: Book One), The","Jack L. Chalker","The River of Dancing Gods (Dancing Gods: Book One)","epub","679119","eng","",""
"0c145655-5aa5-4b2e-ad80-32b0685d9015","Gaiman, Neil","Silver Dream, The","Neil Gaiman","The Silver Dream","epub","819258","eng","",""
"7a3f5097-d89a-4717-91a4-e84a2c7f2d91","Cook, Paul","Halo","Paul Cook","Halo","epub","339495","eng","",""
"1920c000-538a-454f-8b3e-559d69e05b6a","Guillebeau, Chris","$100 Startup: Reinvent the Way You Make a Living, Do What You Love, and Create a New Future, The","Guillebeau, Chris","The $100 Startup: Reinvent the Way You Make a Living, Do What You Love, and Create a New Future","mobi","1382006","rus","9780307951540","business, non-fiction, startup"
"933bc776-0a12-46ef-b76a-1eaf27647f12","Altucher, James & Costolo, Dick","Choose Yourself!","James Altucher & Dick Costolo","Choose Yourself!","mobi","509934","eng","1490313370","non-fiction"
"b19c1071-0a53-4f3b-bdb4-20f9bda9ba3e","Pink, Daniel H.","Drive: The Surprising Truth About What Motivates Us","Daniel H. Pink","Drive: The Surprising Truth About What Motivates Us","epub, mobi","578399","","9781594488849",""
"f109eac9-48ed-45e1-b224-05be49cfb6b4","HSIEH, TONY","Delivering Happiness","Tony Hsieh","Delivering Happiness","epub, mobi","745139","eng","9780446576314",""
"dda08499-d780-4054-aeb2-ae1ec4396f0c","Heath, Chip","Made to Stick","Chip Heath","Made to Stick","epub, mobi","2230033","eng","978-1-58836-596-5",""
"ff1c9b9e-be6b-42dc-9d62-d3885935949b","Nouyrigat, Franck","Startup Weekend: How to Take a Company From Concept to Creation in 54 Hours","Nager, Marc & Nelsen, Clint & Nouyrigat, Franck","Startup Weekend: How to Take a Company From Concept to Creation in 54 Hours","epub, mobi","1526373","eng","",""
"69b488a0-b163-4eca-8141-c8967dd3cf42","Johnson, Spencer","Who Moved My Cheese","Johnson, Spencer","Who Moved My Cheese","epub, mobi","98970","eng","",""
"cb36e135-72f4-4025-99d4-11ed7b65871c","Peale, Norman Vincent","Power of Positive Thinking, The","Norman Vincent Peale","The Power of Positive Thinking","epub, mobi","1957283","eng","",""
"5c248a1a-59b2-4176-b995-90753a79badd","Abbas, Rana Muhammad","One Minute Manager, The","Rana Muhammad Abbas","The One Minute Manager","pdf","318801","","",""
"0470147b-b2e9-463e-95e9-2ecb316d6e39","Flynn, Gillian","Gone Girl","Gillian Flynn","Gone Girl","mobi","647608","eng","9780297859406",""
"649c0f1f-ee32-480a-92e9-57c4c713221f","Heller, Peter","Dog Stars, The","Peter Heller","The Dog Stars","epub, mobi","1964974","eng","978-0-307-96093-1",""
"915735a3-60bc-4e8a-921e-3e611fbe52a0","Isaacson, Walter","Steve Jobs","Isaacson, Walter","Steve Jobs","epub, mobi","4732702","eng","",""
"6a27889a-f941-42f1-aef3-8f1abb91fd32","King, Stephen","Stand, The","Stephen King","The Stand","epub","5421501","eng","978-0-385-52885-6",""
"9c569709-a2a7-4239-a058-7a2f9b5585e5","King, Stephen","Salem's Lot","Stephen King","Salem's Lot","epub","1900542","eng","9780385528221",""
"7835cdec-b870-4bad-ac19-db2d1c337c45","Adams, Richard","Shardik","Adams, Richard","Shardik","epub","595829","eng","9781585671823",""
"9a90e5f5-c315-43b4-9269-b6e0a31a55d4","Pessl, Marisha","Night Film","Marisha Pessl","Night Film","epub","28675538","eng","978-0-679-64391-3",""
"e936c475-695f-49c3-8fe0-ecf266a067ed","ateraan.com","Light Of The Path","ateraan.com","Light Of The Path","","147337","eng","",""
"18f0acdc-18bc-4047-8ddf-8de8234f66a1","Chen Eewei","101 Design Ingredients to Solve Big Tech Problems","Eewei Chen","101 Design Ingredients to Solve Big Tech Problems","pdf","20931827","","","design"
"89f59748-0860-4c21-9f52-4460f1334a61","Neil, Drew","Practical Vim","Drew Neil","Practical Vim","pdf","8325040","","","vim"
"b5eff77a-5d80-4840-85bc-6c34ee286881","Programmers, Pragmatic","peek into computers electronics, A","Pragmatic Programmers","A peek into computers electronics","pdf","5995425","","",""
"ba77aba3-939f-41df-a2f3-a1eeb98deb5e","Trevennor, Alan","Practical AVR Microcontrollers: Games, Gadgets, and Home Automation With the Microcontroller Used in the Arduino (Technology in Action)","Alan Trevennor","Practical AVR Microcontrollers: Games, Gadgets, and Home Automation With the Microcontroller Used in the Arduino (Technology in Action)","pdf","6361410","eng","9781430244462",""
"f3544d01-3c8a-4d82-a874-e2acd2a2430c","Swicegood, Travis","Pragmatic Guide to Git","Travis Swicegood","Pragmatic Guide to Git","pdf","3090144","","",""
"0db09879-9172-4e56-b44c-0c7a5bc8ea15","Hampton Catlin, Michael Lintorn Catlin","Pragmatic Guide to Sass","Hampton Catlin, Michael Lintorn Catlin","Pragmatic Guide to Sass","pdf","2743126","","",""
"0e83490a-3595-4a27-8038-2e11c1367fb5","Programmers, The Pragmatic","Pragmatic Thinking and Learning","The Pragmatic Programmers","Pragmatic Thinking and Learning","pdf","9186651","","",""
"d552de43-a743-4503-8606-3c5bdd825768","Swicegood, Travis","Pragmatic Version Control Using Git (Pragmatic Starter Kit)","Travis Swicegood","Pragmatic Version Control Using Git (Pragmatic Starter Kit)","pdf","3605788","eng","9781934356159",""
"83a22516-7f49-4f24-a2cb-96b691b77943","Shankar, Aditya Ravi","Pro HTML5 Games","Aditya Ravi Shankar","Pro HTML5 Games","pdf","13246136","","",""
"01b2c9ef-06f7-4a11-ae42-8e50cbe15686","Vantomme, Jan","Processing 2: Creative Programming Cookbook","Jan Vantomme","Processing 2: Creative Programming Cookbook","pdf","7943597","eng","1849517940","Computers, Programming, java, design"
